Id,Text,IsRetweet,IsSelfMentioned,Retweets#,Favorites#,Hashtags#,Medias#,Mentions#,SenderId,SenderAccountYears,SenderFavorites#,SenderFollowings#,SenderFollowers#,SenderStatues#,SenderLocation,Emojis#,Punctuations#,UpperCaseLetter#,Letter#,Symbols#,Words#,TWords#,UWords#,SlangWords#,AvgWordLength,IsCyberbullying
1292782403,"galatasaray spor kulübü hakkındaki son gelişme ve haberleri bulabileceğiniz twitter sayfasi gün itibari ile açılmıştır",False,False,678,1761,0,0,0,23186079,10,67,71,8631496,72643,istanbul,0,1,4,104,0,15,4,0,0,6,False
22888045074,"kevin durant umraniye de kaybolmus allah rizasi icin goren yolu tarif etsin meydan da nike magazasindayiz",False,False,10464,19727,0,0,0,33536404,10,691,738,273849,7923,istanbul,0,5,6,90,0,16,6,0,0,5,False
26640149355,"avrupa şampiyonası heyecanı devam ediyor çek cumhuriyeti iskoçya 1 1 65 x 3 20 2 3 60 hemen iddaa oynamak için",False,False,1,0,0,0,0,23186079,10,67,71,8631496,72643,istanbul,0,10,8,90,0,21,8,1,0,4,False
25485244350070784,"zorunlu açiklama alex de souza ile herhangi bir temasımız olmamış gündemimizde de bu oyuncu ile ilgili bir düşüncemiz de bulunmamaktadır",False,False,303,386,0,0,0,23186079,10,67,71,8631496,72643,istanbul,0,2,18,117,0,20,5,2,0,5,False
69176659365986304,"anayasanın 66 maddesi türk devletine vatandaşlık bağı ile bağlı olan herkes türktür",False,False,12,4,0,0,0,214930248,9,850,1185,918495,24210,ankara,0,1,5,72,0,12,5,0,0,6,False
73029122678464512,"galatasaray 10 numara desenli nevresim takımı resimde solda için son 45 dakika",False,False,39,39,0,0,0,23186079,10,67,71,8631496,72643,istanbul,0,3,14,67,0,12,7,2,0,5,False
81418970976100353,"atletico madrid kulubu ile diego forlan antonio reyes ve tomas ujfalusi nin takimimiza transferi konusunda gorusmeler baslamistir fb",False,False,1064,1692,1,0,0,23186079,10,67,71,8631496,72643,istanbul,0,4,9,115,0,18,9,0,0,6,False
107940968224915456,"faik cetiner rahmi koc un ali koc a uyarisi var bu surecte gemiyi son terkeden ol ama asla baskan olma demis",False,False,34,53,0,0,0,71108476,10,2771,2835,1288628,339867,turkey,0,7,7,88,0,21,7,0,0,4,False
132154874900131840,"besiktasli olmak bam baska seviyom seni besiktas",False,False,268,108,0,0,0,278482682,8,4,9,35237,51,istanbul,0,0,1,42,0,7,1,0,0,6,False
154195031262105600,"rüyamda atl madrid küme düştü arda nın parasını ödeyemediler ve arda döndü serbest kalma maddesinden yaralanan falcao ile birlikte pehh",False,False,1,0,0,0,0,99174814,9,7529,508,851,25117,bursa,0,4,0,117,0,20,0,0,0,5,False
